GeoBg2010,_TYPE_,_FREQ_,Births_total,Births_prenat_adeq,Births_prenat_inad,Births_low_wt,Births_preterm,bgid
"DC Tract 103, block group 1",0,13,13,4,2,0,0,110010103001
"DC Tract 103, block group 2",0,17,17,12,0,0,0,110010103002
"DC Tract 103, block group 3",0,24,24,13,0,3,3,110010103003
"DC Tract 104, block group 1",0,23,23,10,4,1,2,110010104001
"DC Tract 104, block group 2",0,57,57,17,5,11,8,110010104002
"DC Tract 105, block group 1",0,48,48,20,2,4,3,110010105001
"DC Tract 105, block group 2",0,18,18,14,0,3,2,110010105002
"DC Tract 106, block group 1",0,18,18,12,2,1,0,110010106001
"DC Tract 106, block group 2",0,62,62,43,1,6,5,110010106002
"DC Tract 106, block group 3",0,13,13,10,0,0,0,110010106003
"DC Tract 107, block group 1",0,11,11,6,3,1,2,110010107001
"DC Tract 107, block group 2",0,8,8,6,1,0,0,110010107002
"DC Tract 108, block group 1",0,5,5,5,0,0,0,110010108001
"DC Tract 108, block group 2",0,3,3,2,0,0,1,110010108002
"DC Tract 108, block group 3",0,3,3,2,0,0,0,110010108003
"DC Tract 109, block group 1",0,30,30,9,8,8,8,110010109001
"DC Tract 109, block group 2",0,25,25,6,2,6,5,110010109002
"DC Tract 110, block group 1",0,5,5,1,3,0,0,110010110001
"DC Tract 110, block group 2",0,8,8,7,0,0,1,110010110002
"DC Tract 110, block group 3",0,1,1,1,0,0,1,110010110003
"DC Tract 110, block group 4",0,9,9,7,0,0,1,110010110004
"DC Tract 111, block group 1",0,30,30,10,4,6,4,110010111001
"DC Tract 111, block group 2",0,35,35,19,2,5,5,110010111002
"DC Tract 111, block group 3",0,18,18,9,2,3,3,110010111003
