Geo2010,_TYPE_,_FREQ_,Births_total,Births_prenat_adeq,Births_prenat_inad,Births_low_wt,Births_preterm,agegroup_1,agegroup_2,agegroup_3,agegroup_4,ChildrenPovertyDefined_2012_16,PopPoorChildren_2012_16,stanc,tractid
DC Tract 52.01,0,1,52,36,2,4,5,67,26,4139,166,145,0,,11001005201
DC Tract 53.01,0,1,32,27,2,2,3,59,23,3776,263,313,0,,11001005301
DC Tract 55,0,1,72,47,6,7,6,91,44,4554,446,332,81,,11001005500
DC Tract 56,0,1,41,25,4,2,3,51,25,4161,870,158,0,,11001005600
DC Tract 58,0,1,39,31,1,1,2,38,9,1620,139,136,22,,11001005800
DC Tract 59,0,1,11,8,0,0,0,12,5,1670,25,47,0,,11001005900
DC Tract 62.02,0,1,,,,,,0,0,7,0,0,0,,11001006202
DC Tract 64,0,1,44,18,2,8,8,2,4,129,7,547,343,,11001006400
DC Tract 65,0,1,22,14,1,1,2,100,75,1719,194,276,10,,11001006500
DC Tract 66,0,1,24,18,1,4,1,92,101,1289,236,323,0,,11001006600
DC Tract 67,0,1,69,58,1,5,5,201,173,2431,272,461,0,,11001006700
DC Tract 68.01,0,1,41,31,0,1,4,54,19,562,12,168,0,,11001006801
DC Tract 68.02,0,1,58,47,2,3,4,76,57,776,28,471,40,,11001006802
DC Tract 68.04,0,1,22,3,6,8,6,1,0,183,3,37,0,,11001006804
DC Tract 69,0,1,68,50,2,4,8,100,70,1162,72,307,0,,11001006900
DC Tract 70,0,1,38,31,1,4,4,85,50,1920,154,292,0,,11001007000
DC Tract 71,0,1,60,36,2,3,2,54,28,873,22,807,404,,11001007100
DC Tract 72,0,1,64,44,7,4,5,42,11,1604,13,302,55,,11001007200
DC Tract 73.01,0,1,116,75,3,11,18,308,190,1288,5,1723,63,,11001007301
DC Tract 73.04,0,1,79,25,10,12,12,1,1,29,10,744,406,,11001007304
DC Tract 74.01,0,1,35,8,8,6,5,1,2,11,3,811,579,,11001007401
DC Tract 74.03,0,1,67,27,13,7,10,1,0,11,0,1055,475,,11001007403
DC Tract 74.04,0,1,83,22,12,14,8,3,9,27,2,1390,805,,11001007404
DC Tract 74.06,0,1,93,40,9,9,7,1,5,13,1,1111,567,1,11001007406
DC Tract 74.07,0,1,57,26,7,6,11,0,2,27,3,816,280,1,11001007407
DC Tract 74.08,0,1,76,23,13,10,10,1,4,27,0,1077,825,1,11001007408
DC Tract 74.09,0,1,96,36,11,9,7,0,4,16,0,1237,531,,11001007409
DC Tract 75.02,0,1,101,35,18,20,21,0,2,25,16,1591,1028,1,11001007502
DC Tract 75.03,0,1,57,18,8,15,14,0,0,33,6,929,561,,11001007503
DC Tract 75.04,0,1,75,23,18,9,7,2,1,22,0,895,529,1,11001007504
DC Tract 76.01,0,1,91,41,10,16,16,3,5,96,36,1067,301,,11001007601
DC Tract 76.03,0,1,62,32,8,2,4,14,9,157,64,832,408,,11001007603
DC Tract 76.04,0,1,36,11,6,3,4,5,9,109,25,848,473,,11001007604
DC Tract 76.05,0,1,55,21,9,10,10,3,1,34,9,803,348,,11001007605
DC Tract 77.03,0,1,117,41,19,18,17,6,3,42,2,1907,867,,11001007703
DC Tract 77.07,0,1,76,26,15,9,7,1,3,36,2,1265,680,,11001007707
DC Tract 77.08,0,1,56,23,10,11,14,0,2,7,2,757,324,,11001007708
DC Tract 77.09,0,1,33,13,6,5,5,1,3,25,9,390,129,,11001007709
DC Tract 78.03,0,1,81,34,13,9,5,0,4,29,3,816,374,,11001007803
DC Tract 78.04,0,1,60,23,14,5,8,1,4,15,4,772,457,,11001007804
DC Tract 78.06,0,1,51,27,5,11,7,2,3,26,4,440,172,,11001007806
DC Tract 78.07,0,1,47,20,9,8,11,1,4,10,3,533,100,,11001007807
DC Tract 78.08,0,1,92,31,14,13,20,3,3,24,4,1042,312,,11001007808
DC Tract 78.09,0,1,53,20,7,6,8,4,3,50,1,708,348,,11001007809
DC Tract 79.01,0,1,79,36,10,10,8,23,12,358,4,767,185,,11001007901
DC Tract 79.03,0,1,27,19,3,5,4,11,9,133,3,369,99,,11001007903
DC Tract 80.01,0,1,60,44,3,8,8,108,45,1143,25,571,8,,11001008001
DC Tract 80.02,0,1,71,51,2,1,1,126,86,1390,60,527,10,,11001008002
DC Tract 81,0,1,58,48,1,3,4,128,121,1879,148,499,0,,11001008100
DC Tract 82,0,1,21,16,0,0,0,85,102,2091,237,329,0,,11001008200
DC Tract 83.01,0,1,47,40,1,2,3,95,63,1520,65,264,0,,11001008301
DC Tract 83.02,0,1,34,25,2,4,5,99,87,1293,74,334,0,,11001008302
DC Tract 84.02,0,1,34,23,0,1,3,80,40,1001,35,162,11,,11001008402
DC Tract 84.10,0,1,33,25,0,0,0,28,9,411,3,137,0,,11001008410
DC Tract 87.01,0,1,45,28,7,4,7,16,11,352,5,223,20,,11001008701
DC Tract 87.02,0,1,45,29,4,4,4,17,9,188,7,257,95,,11001008702
DC Tract 88.02,0,1,68,39,10,3,5,13,21,267,7,786,235,,11001008802
DC Tract 88.03,0,1,42,16,6,7,9,10,11,671,2,366,238,,11001008803
DC Tract 88.04,0,1,47,16,8,4,7,1,18,86,1,412,85,,11001008804
DC Tract 89.03,0,1,64,29,12,8,10,4,5,38,1,862,393,,11001008903
DC Tract 89.04,0,1,70,27,13,10,8,0,1,31,1,610,30,,11001008904
DC Tract 90,0,1,52,36,5,4,6,4,5,98,6,488,25,,11001009000
DC Tract 91.02,0,1,108,55,10,22,21,5,5,101,6,1471,634,,11001009102
DC Tract 92.01,0,1,37,28,1,1,2,6,13,660,58,528,60,,11001009201
DC Tract 92.03,0,1,34,16,3,3,5,11,9,241,19,543,47,,11001009203
DC Tract 92.04,0,1,47,22,5,4,4,4,7,151,8,677,353,,11001009204
DC Tract 93.01,0,1,58,48,1,9,9,58,55,776,90,663,0,,11001009301
DC Tract 93.02,0,1,21,13,1,1,1,14,9,194,4,99,0,,11001009302
DC Tract 94,0,1,60,42,1,3,5,36,20,286,28,1057,9,,11001009400
DC Tract 95.01,0,1,78,40,8,7,10,18,17,2004,89,1524,243,,11001009501
DC Tract 95.03,0,1,42,27,2,5,4,23,25,317,67,695,26,,11001009503
DC Tract 95.04,0,1,52,32,5,3,4,37,27,494,85,412,0,,11001009504
DC Tract 95.05,0,1,56,35,6,5,8,19,13,99,14,513,26,,11001009505
DC Tract 95.07,0,1,27,20,1,0,1,5,10,35,3,389,101,,11001009507
DC Tract 95.08,0,1,57,33,5,5,5,12,18,220,7,596,17,,11001009508
DC Tract 95.09,0,1,40,26,2,3,4,15,8,134,8,789,0,,11001009509
DC Tract 96.01,0,1,55,25,4,12,14,1,3,21,2,616,408,,11001009601
DC Tract 96.02,0,1,78,38,9,10,7,3,4,16,1,1137,583,,11001009602
DC Tract 96.03,0,1,59,20,14,6,6,1,2,21,1,693,22,,11001009603
DC Tract 96.04,0,1,24,10,5,5,3,1,2,21,7,306,0,,11001009604
DC Tract 97,0,1,59,17,11,10,7,2,2,14,2,984,477,,11001009700
DC Tract 98.01,0,1,22,9,5,6,4,0,1,13,2,876,540,,11001009801
DC Tract 98.02,0,1,52,16,8,7,4,0,1,9,1,578,391,,11001009802
DC Tract 98.03,0,1,59,12,15,9,7,0,1,17,5,792,484,,11001009803
DC Tract 98.04,0,1,58,28,9,8,11,7,7,26,2,808,370,,11001009804
DC Tract 98.07,0,1,65,28,7,9,9,4,6,28,18,549,267,,11001009807
DC Tract 98.10,0,1,57,24,6,6,6,0,2,11,2,782,368,,11001009810
DC Tract 98.11,0,1,112,37,25,9,15,1,1,9,2,1432,657,,11001009811
DC Tract 99.01,0,1,26,14,1,2,3,3,7,59,25,446,0,,11001009901
DC Tract 99.02,0,1,41,23,3,2,4,1,1,20,5,537,70,,11001009902
DC Tract 99.03,0,1,41,24,4,6,7,2,0,13,2,425,138,,11001009903
DC Tract 99.04,0,1,55,29,5,6,6,9,8,42,4,832,401,,11001009904
DC Tract 99.05,0,1,53,14,8,5,4,0,2,20,2,655,268,,11001009905
DC Tract 99.06,0,1,33,12,7,6,4,0,0,10,1,318,123,,11001009906
DC Tract 99.07,0,1,57,12,7,6,2,1,1,10,1,841,405,,11001009907
DC Tract 101,0,1,15,11,1,0,1,18,15,1463,176,134,0,,11001010100
DC Tract 102,0,1,22,13,3,0,1,23,12,911,186,208,38,,11001010200
DC Tract 103,0,1,53,23,8,4,3,34,36,610,45,523,179,,11001010300
DC Tract 104,0,1,67,25,6,6,6,7,8,92,22,1161,401,,11001010400
DC Tract 105,0,1,46,20,9,3,4,19,8,976,98,331,121,,11001010500
DC Tract 106,0,1,106,72,4,2,4,100,21,1485,18,452,94,,11001010600
DC Tract 107,0,1,11,8,1,1,1,5,4,1326,107,10,0,,11001010700
DC Tract 108,0,1,11,7,1,1,0,4,10,5078,54,0,0,,11001010800
DC Tract 109,0,1,67,16,10,10,10,0,2,54,2,1298,639,,11001010900
DC Tract 110,0,1,29,23,2,5,6,23,16,1168,425,158,0,,11001011000
DC Tract 111,0,1,89,38,11,12,12,16,27,244,35,1077,48,,11001011100
