GeoBg2010,_TYPE_,_FREQ_,Births_total,Births_prenat_adeq,Births_prenat_inad,Births_low_wt,Births_preterm,bgid,agegroup_1,agegroup_2,agegroup_3,agegroup_4
"DC Tract 15, block group 1",0,36,13,8,2,1,2,1.4301302E12,70,172,555,166
"DC Tract 15, block group 2",0,15,11,10,0,0,0,1.2101102E12,68,169,442,107
"DC Tract 15, block group 3",0,12,6,6,0,1,0,660060090018,50,112,340,389
"DC Tract 15, block group 4",0,17,15,12,1,1,1,1.6501502E12,98,229,712,234
"DC Tract 15, block group 5",0,11,16,12,1,1,1,1.7601602E12,72,228,519,145
"DC Tract 16, block group 1",0,23,8,5,0,1,1,880080128008,24,40,145,28
"DC Tract 16, block group 2",0,13,13,10,2,0,2,1.4301302E12,21,22,127,22
"DC Tract 16, block group 3",0,16,4,2,0,0,0,440040064012,10,20,121,44
"DC Tract 16, block group 4",0,39,12,9,2,1,1,1.3201202E12,13,46,237,77
"DC Tract 17.02, block group 1",0,30,26,14,4,3,3,2.8602604E12,34,43,481,47
"DC Tract 17.02, block group 2",0,23,19,15,0,1,2,2.0901903E12,32,23,340,20
"DC Tract 18.03, block group 1",0,16,23,10,3,3,1,2.5302304E12,18,14,110,14
"DC Tract 18.03, block group 2",0,7,88,31,23,4,8,9.6808816E12,15,30,134,19
"DC Tract 18.04, block group 1",0,8,30,12,2,4,4,3.3003005E12,18,18,104,14
"DC Tract 18.04, block group 2",0,17,40,20,5,1,4,4.4004007E12,14,24,91,6
"DC Tract 18.04, block group 3",0,8,82,37,13,5,6,9.0208215E12,25,49,176,10
"DC Tract 19.01, block group 1",0,14,20,10,4,2,2,2.2002004E12,5,4,34,7
"DC Tract 19.01, block group 2",0,12,23,18,2,1,1,2.5302304E12,8,9,65,4
"DC Tract 19.01, block group 3",0,13,34,16,7,8,7,3.7403406E12,15,18,102,5
"DC Tract 19.01, block group 4",0,16,16,12,0,2,3,1.7601603E12,19,4,113,12
"DC Tract 19.02, block group 1",0,20,31,22,3,0,1,3.4103106E12,5,13,99,6
"DC Tract 19.02, block group 2",0,20,17,7,2,3,3,1.8701703E12,10,8,85,11
"DC Tract 20.01, block group 1",0,9,50,19,7,3,3,5.500501E12,23,24,146,10
"DC Tract 20.01, block group 2",0,16,13,10,2,0,2,1.4301303E12,22,26,293,54
"DC Tract 20.02, block group 1",0,27,17,10,3,2,1,1.8701703E12,24,16,178,18
"DC Tract 20.02, block group 2",0,6,46,25,9,4,2,5.0604609E12,30,30,165,16
"DC Tract 20.02, block group 3",0,14,33,18,2,5,3,3.6303307E12,17,37,231,16
"DC Tract 21.01, block group 1",0,13,28,14,2,1,2,3.0802806E12,8,14,91,13
"DC Tract 21.01, block group 2",0,4,32,13,6,1,1,3.5203207E12,12,25,139,2
"DC Tract 21.01, block group 3",0,6,36,21,3,4,7,3.9603608E12,17,20,133,6
"DC Tract 21.01, block group 4",0,10,20,7,0,2,2,2.2002004E12,8,15,77,2
"DC Tract 21.01, block group 5",0,6,23,9,5,0,0,2.5302305E12,8,12,72,1
"DC Tract 21.02, block group 1",0,17,17,12,4,3,1,1.8701704E12,1,0,42,2
"DC Tract 21.02, block group 2",0,10,14,7,1,3,1,1.5401403E12,4,2,56,3
"DC Tract 21.02, block group 3",0,6,26,15,1,0,2,2.8602605E12,2,5,29,5
"DC Tract 21.02, block group 4",0,10,16,11,0,0,3,1.7601603E12,1,11,43,2
"DC Tract 21.02, block group 5",0,6,12,7,1,0,1,1.3201203E12,6,6,62,13
"DC Tract 21.02, block group 6",0,10,27,18,4,4,5,2.9702706E12,7,19,74,3
"DC Tract 22.01, block group 1",0,12,18,13,0,4,5,1.9801804E12,18,14,133,6
"DC Tract 22.01, block group 2",0,16,27,16,2,4,3,2.9702706E12,12,21,158,6
