GeoBg2010,_TYPE_,_FREQ_,Births_total,Births_prenat_adeq,Births_prenat_inad,Births_low_wt,Births_preterm,bgid,agegroup_1,agegroup_2,agegroup_3,agegroup_4
"DC Tract 78.04, block group 2",0,12,23,8,5,2,4,2.5302318E12,0,1,5,1
"DC Tract 78.04, block group 3",0,22,13,6,2,1,0,1.430131E12,1,2,9,1
"DC Tract 78.06, block group 1",0,18,32,15,3,5,1,3.5203225E12,2,3,15,2
"DC Tract 78.06, block group 2",0,23,19,12,2,6,6,2.0901915E12,0,0,11,2
"DC Tract 78.07, block group 1",0,15,20,8,3,3,5,2.2002016E12,1,2,6,0
"DC Tract 78.07, block group 2",0,9,27,12,6,5,6,2.9702721E12,0,2,4,3
"DC Tract 78.08, block group 1",0,16,48,18,7,5,10,5.2804837E12,0,0,8,1
"DC Tract 78.08, block group 2",0,20,25,10,2,3,4,2.750252E12,2,2,10,1
"DC Tract 78.08, block group 3",0,15,19,3,5,5,6,2.0901915E12,1,1,6,2
"DC Tract 78.09, block group 1",0,8,35,11,6,6,6,3.8503527E12,1,1,25,0
"DC Tract 78.09, block group 2",0,16,18,9,1,0,2,1.9801814E12,3,2,25,1
"DC Tract 79.01, block group 1",0,6,17,5,1,2,1,1.8701713E12,0,0,34,0
"DC Tract 79.01, block group 2",0,6,23,11,2,2,2,2.5302318E12,9,2,108,2
"DC Tract 79.01, block group 3",0,7,21,11,2,3,3,2.3102117E12,10,10,152,0
"DC Tract 79.01, block group 4",0,7,18,9,5,3,2,1.9801814E12,4,0,64,2
"DC Tract 79.03, block group 1",0,19,27,19,3,5,4,2.9702721E12,11,9,133,3
"DC Tract 80.01, block group 1",0,7,11,7,1,3,4,1.2101109E12,15,7,272,0
"DC Tract 80.01, block group 2",0,14,31,25,1,4,2,3.4103125E12,56,23,589,22
"DC Tract 80.01, block group 3",0,6,18,12,1,1,2,1.9801814E12,37,15,282,3
"DC Tract 80.02, block group 1",0,14,31,19,1,1,1,3.4103125E12,38,6,478,7
"DC Tract 80.02, block group 2",0,24,39,32,0,0,0,4.2903931E12,88,80,912,53
"DC Tract 81, block group 1",0,7,12,11,0,0,0,1.320121E12,32,14,468,15
"DC Tract 81, block group 2",0,9,31,24,1,1,3,3.4103125E12,73,46,797,43
"DC Tract 81, block group 3",0,11,15,13,0,2,1,1.6501512E12,23,61,614,90
"DC Tract 82, block group 1",0,6,11,7,0,0,0,1.2101109E12,25,23,584,71
"DC Tract 82, block group 2",0,20,10,9,0,0,0,1.1001008E12,60,79,1507,166
"DC Tract 83.01, block group 1",0,8,24,22,0,1,1,2.640242E12,37,19,691,19
"DC Tract 83.01, block group 2",0,15,23,18,1,1,2,2.5302319E12,58,44,829,46
"DC Tract 83.02, block group 1",0,19,34,25,2,4,5,3.7403428E12,99,87,1293,74
"DC Tract 84.02, block group 1",0,10,24,15,0,1,3,2.640242E12,43,18,446,13
"DC Tract 84.02, block group 2",0,11,10,8,0,0,0,1.1001008E12,37,22,555,22
"DC Tract 84.10, block group 1",0,21,33,25,0,0,0,3.6303328E12,28,9,411,3
"DC Tract 87.01, block group 1",0,12,18,11,4,0,1,1.9801816E12,14,7,229,5
"DC Tract 87.01, block group 2",0,12,27,17,3,4,6,2.9702723E12,2,4,123,0
"DC Tract 87.02, block group 1",0,12,22,9,2,1,2,2.4202219E12,7,4,91,3
"DC Tract 87.02, block group 2",0,9,23,20,2,3,2,2.530232E12,10,5,97,4
"DC Tract 88.02, block group 1",0,6,9,6,0,0,1,990090792189,1,3,25,1
"DC Tract 88.02, block group 2",0,12,18,9,2,2,2,1.9801816E12,3,0,42,1
"DC Tract 88.02, block group 3",0,6,26,13,7,0,1,2.8602623E12,4,3,141,3
"DC Tract 88.02, block group 4",0,6,15,11,1,1,1,1.6501513E12,5,15,59,2
"DC Tract 88.03, block group 1",0,31,42,16,6,7,9,4.6204237E12,10,11,671,2
"DC Tract 88.04, block group 1",0,7,15,4,4,3,5,1.6501513E12,0,5,41,0
"DC Tract 88.04, block group 2",0,18,32,12,4,1,2,3.5203228E12,1,13,45,1
"DC Tract 89.03, block group 1",0,18,33,15,8,4,4,3.6303329E12,4,4,27,0
"DC Tract 89.03, block group 2",0,5,31,14,4,4,6,3.4103128E12,0,1,11,1
"DC Tract 89.04, block group 1",0,7,54,19,11,7,6,5.9405448E12,0,1,10,0
"DC Tract 89.04, block group 2",0,10,16,8,2,3,2,1.7601614E12,0,0,21,1
"DC Tract 90, block group 1",0,11,39,30,3,4,4,4.2903935E12,4,1,41,5
"DC Tract 90, block group 2",0,5,13,6,2,0,2,1.4301312E12,0,4,57,1
"DC Tract 91.02, block group 1",0,16,19,13,0,2,2,2.0901917E12,0,1,38,4
"DC Tract 91.02, block group 2",0,29,48,22,7,11,11,5.2804844E12,5,2,49,2
"DC Tract 91.02, block group 3",0,5,41,20,3,9,8,4.5104137E12,0,2,14,0
"DC Tract 92.01, block group 1",0,18,26,17,1,1,1,2.8602624E12,6,13,660,58
"DC Tract 92.03, block group 1",0,6,14,5,1,3,4,1.5401413E12,2,1,57,5
"DC Tract 92.03, block group 2",0,14,20,11,2,0,1,2.2002018E12,9,8,184,14
"DC Tract 92.04, block group 1",0,8,8,7,0,0,0,880080736328,2,5,125,2
"DC Tract 92.04, block group 2",0,4,39,15,5,4,4,4.2903936E12,2,2,26,6
"DC Tract 93.01, block group 1",0,15,20,15,1,2,1,2.2002019E12,14,10,131,20
"DC Tract 93.01, block group 2",0,27,15,11,0,1,2,1.6501514E12,23,20,305,27
"DC Tract 93.01, block group 3",0,25,9,8,0,1,1,990090837117,13,8,136,12
"DC Tract 93.01, block group 4",0,10,14,14,0,5,5,1.5401413E12,8,17,204,31
"DC Tract 93.02, block group 1",0,18,21,13,1,1,1,2.310212E12,14,9,194,4
"DC Tract 94, block group 1",0,19,9,7,0,0,2,990090846009,5,3,31,9
"DC Tract 94, block group 2",0,26,23,13,1,1,0,2.5302322E12,15,6,109,4
"DC Tract 94, block group 3",0,26,13,10,0,1,1,1.4301312E12,9,8,109,11
"DC Tract 94, block group 4",0,20,15,12,0,1,2,1.6501514E12,7,3,37,4
"DC Tract 95.01, block group 1",0,10,41,23,2,5,7,4.5104139E12,10,12,155,3
"DC Tract 95.01, block group 2",0,7,16,9,2,0,1,1.7601615E12,7,2,42,0
"DC Tract 95.01, block group 3",0,13,21,8,4,2,2,2.310212E12,1,3,1807,86
"DC Tract 95.03, block group 1",0,18,24,15,0,4,1,2.6402423E12,3,10,93,33
"DC Tract 95.03, block group 2",0,16,11,5,2,1,3,1.210111E12,11,5,83,14
"DC Tract 95.03, block group 3",0,18,7,7,0,0,0,770070665231,9,10,141,20
"DC Tract 95.04, block group 1",0,27,32,19,3,2,3,3.520323E12,28,22,354,46
"DC Tract 95.04, block group 2",0,19,20,13,2,1,1,2.2002019E12,9,5,140,39
"DC Tract 95.05, block group 1",0,10,17,14,0,1,1,1.8701716E12,3,7,27,3
"DC Tract 95.05, block group 2",0,23,15,9,2,3,5,1.6501514E12,7,0,39,6
"DC Tract 95.05, block group 3",0,23,24,12,4,1,2,2.6402423E12,9,6,33,5
"DC Tract 95.07, block group 1",0,11,27,20,1,0,1,2.9702726E12,5,10,35,3
"DC Tract 95.08, block group 1",0,13,17,10,1,1,2,1.8701716E12,9,15,147,2
"DC Tract 95.08, block group 2",0,9,22,12,2,2,3,2.4202221E12,2,1,42,4
"DC Tract 95.08, block group 3",0,8,18,11,2,2,0,1.9801817E12,1,2,31,1
"DC Tract 95.09, block group 1",0,10,13,7,0,1,3,1.4301312E12,5,1,29,2
"DC Tract 95.09, block group 2",0,13,17,11,1,2,1,1.8701716E12,8,4,49,6
"DC Tract 95.09, block group 3",0,6,10,8,1,0,0,1.100101E12,2,3,56,0
"DC Tract 96.01, block group 1",0,50,55,25,4,12,14,6.0505553E12,1,3,21,2
"DC Tract 96.02, block group 1",0,30,40,22,3,4,3,4.4004038E12,3,4,14,1
"DC Tract 96.02, block group 2",0,9,38,16,6,6,4,4.1803836E12,0,0,2,0
"DC Tract 96.03, block group 1",0,9,35,12,9,2,2,3.8503534E12,0,2,16,1
"DC Tract 96.03, block group 2",0,10,11,6,2,3,3,1.2101111E12,0,0,0,0
"DC Tract 96.03, block group 3",0,6,13,2,3,1,1,1.4301312E12,1,0,5,0
"DC Tract 96.04, block group 1",0,13,16,6,2,4,2,1.7601615E12,0,0,12,4
"DC Tract 96.04, block group 2",0,12,8,4,3,1,1,880080768336,1,2,9,3
"DC Tract 97, block group 1",0,18,48,15,9,9,6,5.2804847E12,2,2,9,2
"DC Tract 97, block group 2",0,3,11,2,2,1,1,1.2101111E12,0,0,5,0
"DC Tract 98.01, block group 1",0,15,22,9,5,6,4,2.4202222E12,0,1,13,2
"DC Tract 98.02, block group 1",0,2,23,6,3,5,3,2.5302323E12,0,0,1,0
"DC Tract 98.02, block group 2",0,4,29,10,5,2,1,3.1902928E12,0,1,8,1
"DC Tract 98.03, block group 1",0,7,19,4,4,3,3,2.0901919E12,0,0,2,0
"DC Tract 98.03, block group 2",0,7,20,4,5,2,1,2.200202E12,0,0,5,1
"DC Tract 98.03, block group 3",0,6,19,4,5,4,3,2.0901919E12,0,1,10,4
"DC Tract 98.04, block group 1",0,7,44,22,6,7,10,4.8404443E12,7,5,19,2
"DC Tract 98.04, block group 2",0,6,14,6,3,1,1,1.5401414E12,0,2,7,0
"DC Tract 98.07, block group 1",0,15,12,8,0,0,1,1.3201212E12,2,0,8,6
"DC Tract 98.07, block group 2",0,11,53,20,7,9,8,5.8305352E12,2,6,20,12
"DC Tract 98.10, block group 1",0,8,35,12,4,3,3,3.8503534E12,0,2,4,0
"DC Tract 98.10, block group 2",0,7,22,12,2,3,3,2.4202222E12,0,0,7,2
"DC Tract 98.11, block group 1",0,4,50,16,8,3,4,5.5005049E12,0,0,6,0
"DC Tract 98.11, block group 2",0,9,62,21,17,6,11,6.8206261E12,1,1,3,2
"DC Tract 99.01, block group 1",0,14,8,6,1,0,0,880080792088,1,2,13,5
"DC Tract 99.01, block group 2",0,29,18,8,0,2,3,1.9801818E12,2,5,46,20
"DC Tract 99.02, block group 1",0,18,22,14,2,1,2,2.4202222E12,1,0,12,2
"DC Tract 99.02, block group 2",0,10,19,9,1,1,2,2.0901919E12,0,1,8,3
"DC Tract 99.03, block group 1",0,4,23,12,2,3,4,2.5302323E12,2,0,9,2
"DC Tract 99.03, block group 2",0,9,18,12,2,3,3,1.9801818E12,0,0,4,0
"DC Tract 99.04, block group 1",0,10,16,8,2,0,2,1.7601616E12,7,8,26,2
"DC Tract 99.04, block group 2",0,10,38,21,3,6,4,4.1803838E12,2,0,16,2
"DC Tract 99.05, block group 1",0,13,26,8,4,2,1,2.8602626E12,0,2,9,0
"DC Tract 99.05, block group 2",0,9,10,4,1,0,0,1.100101E12,0,0,6,0
"DC Tract 99.05, block group 3",0,7,17,2,3,3,3,1.8701717E12,0,0,5,2
"DC Tract 99.06, block group 1",0,9,33,12,7,6,4,3.6303333E12,0,0,10,1
"DC Tract 99.07, block group 1",0,5,22,5,2,2,2,2.4202222E12,0,0,3,0
"DC Tract 99.07, block group 2",0,7,35,7,5,4,0,3.8503535E12,1,1,7,1
"DC Tract 101, block group 1",0,30,14,10,1,0,1,1.5401414E12,17,12,1175,155
"DC Tract 101, block group 2",0,8,1,1,0,0,0,110010101002,1,3,288,21
"DC Tract 102, block group 1",0,22,9,6,0,0,1,990090918009,13,6,321,136
"DC Tract 102, block group 2",0,47,13,7,3,0,0,1.4301313E12,10,6,590,50
"DC Tract 103, block group 1",0,18,10,3,1,1,0,1.100101E12,11,9,312,11
"DC Tract 103, block group 2",0,14,14,8,4,1,0,1.5401414E12,6,8,98,8
"DC Tract 103, block group 3",0,13,29,12,3,2,3,3.190293E12,17,19,200,26
"DC Tract 104, block group 1",0,27,20,8,1,2,2,2.2002021E12,5,5,29,4
"DC Tract 104, block group 2",0,45,47,17,5,4,4,5.1704749E12,2,3,63,18
"DC Tract 105, block group 1",0,11,28,9,7,2,3,3.0802829E12,11,6,352,55
"DC Tract 105, block group 2",0,29,18,11,2,1,1,1.9801819E12,8,2,624,43
"DC Tract 106, block group 1",0,8,18,14,0,0,3,1.9801819E12,17,0,290,7
"DC Tract 106, block group 2",0,61,82,53,4,2,1,9.0208287E12,66,15,1001,10
"DC Tract 106, block group 3",0,7,6,5,0,0,0,660060636018,17,6,194,1
"DC Tract 107, block group 1",0,34,5,4,1,1,1,550050535005,2,2,558,52
"DC Tract 107, block group 2",0,22,6,4,0,0,0,660060642012,3,2,768,55
"DC Tract 108, block group 1",0,8,6,2,1,1,0,660060648006,0,2,1174,8
"DC Tract 108, block group 2",0,24,2,2,0,0,0,220020216004,3,5,2036,40
"DC Tract 108, block group 3",0,10,3,3,0,0,0,330030324009,1,3,1868,6
"DC Tract 109, block group 1",0,3,34,11,4,4,5,3.7403437E12,0,0,5,1
"DC Tract 109, block group 2",0,46,33,5,6,6,5,3.6303336E12,0,2,49,1
"DC Tract 110, block group 1",0,3,3,2,0,2,2,330030330003,0,0,30,2
"DC Tract 110, block group 2",0,16,6,6,0,1,2,660060660012,6,1,409,206
"DC Tract 110, block group 3",0,6,4,3,1,1,1,440040440012,4,5,253,84
"DC Tract 110, block group 4",0,3,16,12,1,1,1,1.7601618E12,13,10,476,133
"DC Tract 111, block group 1",0,39,35,10,6,5,4,3.8503539E12,10,17,74,8
"DC Tract 111, block group 2",0,32,26,16,3,4,5,2.8602629E12,3,8,106,15
"DC Tract 111, block group 3",0,58,28,12,2,3,3,3.0802831E12,3,2,64,12
