GeoBg2010,_TYPE_,_FREQ_,Births_total,Births_prenat_adeq,Births_prenat_inad,Births_low_wt,Births_preterm,bgid
,0,23,23,15,0,3,6,
"DC Tract 1, block group 1",0,16,16,14,0,0,0,110010001001
"DC Tract 1, block group 2",0,10,10,6,1,0,0,110010001002
"DC Tract 1, block group 3",0,9,9,7,0,1,0,110010001003
"DC Tract 1, block group 4",0,12,12,5,1,0,0,110010001004
"DC Tract 2.02, block group 1",0,15,15,14,1,0,3,110010002021
"DC Tract 2.02, block group 2",0,14,14,10,0,0,1,110010002022
"DC Tract 2.02, block group 3",0,11,11,10,0,3,1,110010002023
"DC Tract 2.02, block group 4",0,16,16,12,2,1,1,110010002024
"DC Tract 3, block group 1",0,13,13,12,0,1,0,110010003001
"DC Tract 3, block group 2",0,18,18,14,1,0,0,110010003002
"DC Tract 3, block group 3",0,17,17,13,0,2,3,110010003003
"DC Tract 3, block group 4",0,30,30,19,1,7,9,110010003004
"DC Tract 4, block group 1",0,5,5,3,0,0,1,110010004001
"DC Tract 4, block group 2",0,12,12,5,1,2,2,110010004002
"DC Tract 5.01, block group 1",0,15,15,9,0,3,3,110010005011
"DC Tract 5.01, block group 2",0,15,15,14,0,1,1,110010005012
"DC Tract 5.02, block group 1",0,15,15,13,0,0,1,110010005021
"DC Tract 5.02, block group 2",0,11,11,11,0,0,0,110010005022
"DC Tract 6, block group 1",0,11,11,11,0,0,0,110010006001
"DC Tract 6, block group 2",0,14,14,14,0,1,1,110010006002
"DC Tract 6, block group 3",0,1,1,1,0,0,0,110010006003
"DC Tract 6, block group 4",0,11,11,8,0,0,2,110010006004
"DC Tract 7.01, block group 1",0,16,16,11,0,0,0,110010007011
"DC Tract 7.01, block group 2",0,18,18,16,0,2,3,110010007012
"DC Tract 7.01, block group 3",0,4,4,4,0,0,0,110010007013
"DC Tract 7.01, block group 4",0,12,12,6,1,0,0,110010007014
"DC Tract 7.02, block group 1",0,17,17,14,0,6,6,110010007021
"DC Tract 7.02, block group 2",0,18,18,12,0,0,1,110010007022
"DC Tract 7.02, block group 3",0,14,14,11,0,1,0,110010007023
"DC Tract 8.01, block group 1",0,14,14,11,0,0,0,110010008011
"DC Tract 8.01, block group 2",0,10,10,8,1,0,1,110010008012
"DC Tract 8.01, block group 3",0,8,8,8,0,0,0,110010008013
"DC Tract 8.01, block group 4",0,5,5,4,0,1,0,110010008014
"DC Tract 8.02, block group 1",0,25,25,18,1,1,0,110010008021
"DC Tract 8.02, block group 2",0,18,18,15,0,1,1,110010008022
"DC Tract 9.01, block group 1",0,19,19,16,0,1,0,110010009011
"DC Tract 9.01, block group 2",0,3,3,3,0,0,0,110010009012
"DC Tract 9.01, block group 3",0,17,17,13,0,4,2,110010009013
"DC Tract 9.02, block group 1",0,8,8,8,0,1,0,110010009021
"DC Tract 9.02, block group 2",0,13,13,9,0,1,0,110010009022
"DC Tract 10.01, block group 1",0,6,6,4,0,0,0,110010010011
"DC Tract 10.01, block group 2",0,20,20,17,0,3,2,110010010012
"DC Tract 10.01, block group 3",0,7,7,5,0,0,0,110010010013
"DC Tract 10.01, block group 4",0,12,12,12,0,0,0,110010010014
"DC Tract 10.01, block group 5",0,6,6,5,0,1,0,110010010015
"DC Tract 10.01, block group 6",0,10,10,9,0,1,1,110010010016
"DC Tract 10.02, block group 1",0,7,7,2,2,3,2,110010010021
"DC Tract 10.02, block group 2",0,24,24,17,2,3,3,110010010022
"DC Tract 10.02, block group 3",0,10,10,8,0,0,0,110010010023
"DC Tract 11, block group 1",0,11,11,9,0,0,0,110010011001
"DC Tract 11, block group 2",0,20,20,16,1,2,2,110010011002
"DC Tract 11, block group 3",0,9,9,8,0,2,2,110010011003
"DC Tract 11, block group 4",0,14,14,8,0,1,2,110010011004
"DC Tract 12, block group 1",0,23,23,18,0,3,4,110010012001
"DC Tract 12, block group 2",0,11,11,7,1,1,0,110010012002
"DC Tract 12, block group 3",0,13,13,12,0,0,1,110010012003
"DC Tract 12, block group 4",0,19,19,15,2,0,0,110010012004
"DC Tract 13.01, block group 1",0,11,11,7,1,3,2,110010013011
"DC Tract 13.01, block group 2",0,6,6,4,1,2,1,110010013012
"DC Tract 13.01, block group 3",0,15,15,13,0,1,2,110010013013
"DC Tract 13.02, block group 1",0,18,18,13,1,0,0,110010013021
"DC Tract 13.02, block group 2",0,26,26,21,1,0,1,110010013022
