GeoBg2010,_TYPE_,_FREQ_,Births_total,Births_prenat_adeq,Births_prenat_inad,Births_low_wt,Births_preterm,bgid
"DC Tract 13.02, block group 3",0,9,9,6,0,1,1,110010013023
"DC Tract 14.01, block group 1",0,20,20,16,0,1,1,110010014011
"DC Tract 14.01, block group 2",0,7,7,6,0,0,1,110010014012
"DC Tract 14.02, block group 1",0,14,14,12,0,2,2,110010014021
"DC Tract 14.02, block group 2",0,7,7,4,0,0,0,110010014022
"DC Tract 14.02, block group 3",0,14,14,12,0,2,4,110010014023
"DC Tract 15, block group 1",0,10,10,9,0,0,0,110010015001
"DC Tract 15, block group 2",0,7,7,4,1,1,1,110010015002
"DC Tract 15, block group 3",0,9,9,7,0,1,2,110010015003
"DC Tract 15, block group 4",0,16,16,15,0,1,1,110010015004
"DC Tract 15, block group 5",0,6,6,5,0,0,1,110010015005
"DC Tract 16, block group 1",0,12,12,10,1,0,1,110010016001
"DC Tract 16, block group 2",0,11,11,8,0,0,1,110010016002
"DC Tract 16, block group 3",0,4,4,4,0,0,1,110010016003
"DC Tract 16, block group 4",0,9,9,6,0,0,0,110010016004
"DC Tract 17.02, block group 1",0,22,22,16,1,1,1,110010017021
"DC Tract 17.02, block group 2",0,27,27,20,2,1,3,110010017022
"DC Tract 18.03, block group 1",0,25,25,10,3,0,0,110010018031
"DC Tract 18.03, block group 2",0,84,84,27,14,7,8,110010018032
"DC Tract 18.04, block group 1",0,24,24,10,5,0,3,110010018041
"DC Tract 18.04, block group 2",0,32,32,18,4,1,2,110010018042
"DC Tract 18.04, block group 3",0,79,79,33,9,9,13,110010018043
"DC Tract 19.01, block group 1",0,19,19,8,2,0,1,110010019011
"DC Tract 19.01, block group 2",0,16,16,9,0,1,2,110010019012
"DC Tract 19.01, block group 3",0,31,31,17,4,2,5,110010019013
"DC Tract 19.01, block group 4",0,15,15,12,0,1,1,110010019014
"DC Tract 19.02, block group 1",0,8,8,4,1,1,3,110010019021
"DC Tract 19.02, block group 2",0,13,13,9,0,2,2,110010019022
"DC Tract 20.01, block group 1",0,30,30,16,2,1,3,110010020011
"DC Tract 20.01, block group 2",0,14,14,5,2,1,1,110010020012
"DC Tract 20.02, block group 1",0,17,17,13,3,1,4,110010020021
"DC Tract 20.02, block group 2",0,45,45,22,7,5,5,110010020022
"DC Tract 20.02, block group 3",0,23,23,16,0,4,5,110010020023
"DC Tract 21.01, block group 1",0,40,40,20,3,4,2,110010021011
"DC Tract 21.01, block group 2",0,32,32,17,5,0,0,110010021012
"DC Tract 21.01, block group 3",0,22,22,11,1,3,2,110010021013
"DC Tract 21.01, block group 4",0,18,18,4,5,1,1,110010021014
"DC Tract 21.01, block group 5",0,16,16,8,0,0,2,110010021015
"DC Tract 21.02, block group 1",0,12,12,8,1,0,0,110010021021
"DC Tract 21.02, block group 2",0,12,12,7,3,1,0,110010021022
"DC Tract 21.02, block group 3",0,16,16,8,1,2,3,110010021023
"DC Tract 21.02, block group 4",0,15,15,8,0,1,1,110010021024
"DC Tract 21.02, block group 5",0,10,10,4,1,1,2,110010021025
"DC Tract 21.02, block group 6",0,22,22,11,3,1,1,110010021026
"DC Tract 22.01, block group 1",0,27,27,14,5,2,1,110010022011
"DC Tract 22.01, block group 2",0,32,32,21,1,3,1,110010022012
"DC Tract 22.01, block group 3",0,15,15,6,1,0,0,110010022013
"DC Tract 22.02, block group 1",0,40,40,23,3,2,3,110010022021
"DC Tract 22.02, block group 2",0,27,27,12,7,4,5,110010022022
"DC Tract 22.02, block group 3",0,18,18,11,1,0,1,110010022023
"DC Tract 23.01, block group 1",0,29,29,20,0,6,4,110010023011
"DC Tract 23.01, block group 2",0,43,43,26,1,3,2,110010023012
"DC Tract 23.02, block group 1",0,5,5,3,1,0,0,110010023021
"DC Tract 24, block group 1",0,12,12,7,0,0,0,110010024001
"DC Tract 24, block group 2",0,20,20,12,1,5,5,110010024002
"DC Tract 24, block group 3",0,21,21,12,0,1,2,110010024003
"DC Tract 24, block group 4",0,13,13,9,0,0,1,110010024004
"DC Tract 25.01, block group 1",0,21,21,11,2,1,1,110010025011
"DC Tract 25.01, block group 2",0,24,24,14,2,1,2,110010025012
"DC Tract 25.02, block group 1",0,26,26,10,4,0,0,110010025021
"DC Tract 25.02, block group 2",0,21,21,15,3,1,1,110010025022
"DC Tract 25.02, block group 3",0,34,34,20,0,1,3,110010025023
"DC Tract 25.02, block group 4",0,49,49,24,5,6,6,110010025024
"DC Tract 26, block group 1",0,8,8,7,0,1,0,110010026001
"DC Tract 26, block group 2",0,15,15,9,2,0,0,110010026002
"DC Tract 27.01, block group 1",0,9,9,8,0,0,0,110010027011
"DC Tract 27.01, block group 2",0,40,40,23,7,5,4,110010027012
"DC Tract 27.01, block group 3",0,14,14,12,1,1,2,110010027013
"DC Tract 27.01, block group 4",0,32,32,15,8,0,0,110010027014
"DC Tract 27.02, block group 1",0,25,25,15,1,2,2,110010027021
"DC Tract 27.02, block group 2",0,42,42,29,1,1,1,110010027022
"DC Tract 27.02, block group 3",0,19,19,15,0,2,0,110010027023
"DC Tract 28.01, block group 1",0,22,22,12,0,2,1,110010028011
"DC Tract 28.01, block group 2",0,56,56,30,7,5,5,110010028012
"DC Tract 28.02, block group 1",0,31,31,17,2,2,4,110010028021
"DC Tract 28.02, block group 2",0,32,32,18,2,1,0,110010028022
"DC Tract 29, block group 1",0,40,40,19,1,1,3,110010029001
"DC Tract 29, block group 2",0,31,31,20,0,1,0,110010029002
"DC Tract 30, block group 1",0,15,15,12,1,1,1,110010030001
"DC Tract 30, block group 2",0,29,29,14,1,2,2,110010030002
"DC Tract 31, block group 1",0,66,66,41,1,4,5,110010031001
"DC Tract 32, block group 1",0,17,17,11,0,2,3,110010032001
"DC Tract 32, block group 2",0,19,19,13,1,0,0,110010032002
"DC Tract 32, block group 3",0,39,39,21,6,8,6,110010032003
"DC Tract 32, block group 4",0,24,24,14,3,0,0,110010032004
"DC Tract 33.01, block group 1",0,18,18,13,2,3,3,110010033011
"DC Tract 33.01, block group 2",0,8,8,4,1,1,2,110010033012
"DC Tract 33.01, block group 3",0,12,12,10,0,3,2,110010033013
"DC Tract 33.02, block group 1",0,21,21,15,1,2,2,110010033021
"DC Tract 33.02, block group 2",0,16,16,9,2,0,1,110010033022
"DC Tract 34, block group 1",0,17,17,8,2,2,0,110010034001
"DC Tract 34, block group 2",0,16,16,9,1,1,1,110010034002
"DC Tract 35, block group 1",0,26,26,18,3,0,3,110010035001
"DC Tract 35, block group 2",0,9,9,1,2,3,1,110010035002
"DC Tract 36, block group 1",0,43,43,23,6,0,1,110010036001
"DC Tract 36, block group 2",0,20,20,12,1,0,1,110010036002
"DC Tract 36, block group 3",0,12,12,5,1,1,1,110010036003
"DC Tract 37, block group 1",0,15,15,11,1,2,3,110010037001
"DC Tract 37, block group 2",0,46,46,22,3,5,2,110010037002
"DC Tract 37, block group 3",0,20,20,11,2,1,2,110010037003
"DC Tract 38, block group 1",0,44,44,26,4,2,5,110010038001
"DC Tract 38, block group 2",0,27,27,21,0,0,1,110010038002
"DC Tract 38, block group 3",0,17,17,10,1,3,3,110010038003
"DC Tract 39, block group 1",0,21,21,16,0,2,2,110010039001
"DC Tract 39, block group 2",0,11,11,8,1,1,0,110010039002
"DC Tract 39, block group 3",0,20,20,15,0,0,0,110010039003
"DC Tract 39, block group 4",0,15,15,13,0,0,0,110010039004
"DC Tract 40.01, block group 1",0,10,10,8,0,0,0,110010040011
"DC Tract 40.01, block group 2",0,5,5,4,0,0,0,110010040012
"DC Tract 40.01, block group 3",0,26,26,19,0,2,3,110010040013
"DC Tract 40.02, block group 1",0,4,4,4,0,0,0,110010040021
"DC Tract 40.02, block group 2",0,17,17,15,1,1,0,110010040022
"DC Tract 40.02, block group 3",0,6,6,2,1,1,1,110010040023
"DC Tract 41, block group 1",0,13,13,11,0,0,0,110010041001
"DC Tract 41, block group 2",0,3,3,3,0,0,0,110010041002
"DC Tract 41, block group 3",0,3,3,2,0,0,1,110010041003
"DC Tract 42.01, block group 1",0,12,12,7,0,1,0,110010042011
"DC Tract 42.01, block group 2",0,23,23,18,1,3,2,110010042012
"DC Tract 42.02, block group 1",0,8,8,8,0,0,0,110010042021
"DC Tract 42.02, block group 2",0,8,8,6,0,0,0,110010042022
"DC Tract 43, block group 1",0,21,21,13,1,1,4,110010043001
"DC Tract 43, block group 2",0,20,20,15,0,0,1,110010043002
"DC Tract 44, block group 1",0,41,41,35,2,0,0,110010044001
"DC Tract 44, block group 2",0,33,33,22,1,2,2,110010044002
"DC Tract 46, block group 1",0,17,17,15,0,2,3,110010046001
"DC Tract 46, block group 2",0,24,24,11,1,3,4,110010046002
"DC Tract 47.01, block group 1",0,25,25,8,2,3,3,110010047011
"DC Tract 47.01, block group 2",0,53,53,33,2,6,4,110010047012
"DC Tract 47.02, block group 1",0,26,26,14,1,2,2,110010047021
"DC Tract 48.01, block group 1",0,36,36,20,3,3,3,110010048011
"DC Tract 48.02, block group 1",0,19,19,10,2,2,2,110010048021
"DC Tract 48.02, block group 2",0,25,25,12,3,3,2,110010048022
"DC Tract 49.01, block group 1",0,23,23,9,3,3,3,110010049011
"DC Tract 49.01, block group 2",0,19,19,15,2,1,1,110010049012
"DC Tract 49.02, block group 1",0,11,11,6,2,1,3,110010049021
"DC Tract 49.02, block group 2",0,24,24,14,2,0,0,110010049022
"DC Tract 50.01, block group 1",0,6,6,5,0,0,0,110010050011
"DC Tract 50.01, block group 2",0,7,7,6,0,0,0,110010050012
"DC Tract 50.02, block group 1",0,23,23,11,3,0,0,110010050021
"DC Tract 50.02, block group 2",0,19,19,13,1,3,1,110010050022
"DC Tract 50.02, block group 3",0,12,12,6,2,1,1,110010050023
"DC Tract 50.02, block group 4",0,9,9,5,1,0,0,110010050024
"DC Tract 52.01, block group 1",0,15,15,6,4,0,0,110010052011
"DC Tract 52.01, block group 2",0,16,16,12,0,3,4,110010052012
"DC Tract 52.01, block group 3",0,5,5,3,0,0,1,110010052013
"DC Tract 52.01, block group 4",0,24,24,18,1,2,1,110010052014
"DC Tract 53.01, block group 1",0,10,10,6,1,2,2,110010053011
"DC Tract 53.01, block group 2",0,12,12,9,0,2,2,110010053012
"DC Tract 53.01, block group 3",0,10,10,10,0,1,1,110010053013
"DC Tract 53.01, block group 4",0,10,10,7,0,1,2,110010053014
"DC Tract 55, block group 1",0,14,14,10,0,3,1,110010055001
"DC Tract 55, block group 2",0,21,21,16,0,0,0,110010055002
"DC Tract 55, block group 3",0,15,15,12,1,0,0,110010055003
"DC Tract 55, block group 4",0,7,7,4,0,2,2,110010055004
"DC Tract 55, block group 5",0,7,7,7,0,0,0,110010055005
"DC Tract 56, block group 1",0,6,6,6,0,0,0,110010056001
"DC Tract 56, block group 2",0,5,5,5,0,0,0,110010056002
"DC Tract 56, block group 3",0,10,10,7,1,1,1,110010056003
"DC Tract 56, block group 4",0,5,5,2,0,0,0,110010056004
"DC Tract 58, block group 1",0,20,20,14,1,3,1,110010058001
"DC Tract 58, block group 2",0,9,9,8,1,0,0,110010058002
"DC Tract 59, block group 1",0,20,20,13,2,2,2,110010059001
"DC Tract 62.02, block group 1",0,3,3,1,1,0,0,110010062021
"DC Tract 64, block group 1",0,31,31,11,8,7,5,110010064001
"DC Tract 64, block group 2",0,16,16,9,3,0,0,110010064002
"DC Tract 65, block group 1",0,15,15,11,0,1,5,110010065001
"DC Tract 65, block group 2",0,28,28,21,2,4,7,110010065002
"DC Tract 66, block group 1",0,34,34,22,1,5,8,110010066001
"DC Tract 67, block group 1",0,31,31,26,1,2,1,110010067001
"DC Tract 67, block group 2",0,9,9,9,0,1,1,110010067002
"DC Tract 67, block group 3",0,16,16,14,0,1,0,110010067003
"DC Tract 68.01, block group 1",0,27,27,20,0,2,2,110010068011
"DC Tract 68.01, block group 2",0,24,24,18,1,6,7,110010068012
"DC Tract 68.02, block group 1",0,22,22,18,0,2,2,110010068021
"DC Tract 68.02, block group 2",0,27,27,19,1,1,2,110010068022
"DC Tract 68.04, block group 1",0,12,12,3,4,4,3,110010068041
"DC Tract 69, block group 1",0,40,40,27,3,3,4,110010069001
"DC Tract 69, block group 2",0,29,29,23,2,0,0,110010069002
"DC Tract 70, block group 1",0,24,24,18,1,2,2,110010070001
"DC Tract 70, block group 2",0,15,15,10,2,0,0,110010070002
"DC Tract 71, block group 1",0,15,15,5,2,1,1,110010071001
"DC Tract 71, block group 2",0,49,49,29,2,7,4,110010071002
"DC Tract 72, block group 1",0,50,50,37,2,5,2,110010072001
"DC Tract 72, block group 2",0,18,18,14,0,2,2,110010072002
"DC Tract 73.01, block group 1",0,115,115,48,11,6,6,110010073011
"DC Tract 73.04, block group 1",0,52,52,14,11,11,8,110010073041
"DC Tract 73.04, block group 2",0,18,18,6,2,4,0,110010073042
"DC Tract 73.04, block group 3",0,18,18,4,4,2,3,110010073043
"DC Tract 74.01, block group 1",0,27,27,7,6,5,6,110010074011
"DC Tract 74.01, block group 2",0,31,31,9,5,3,2,110010074012
"DC Tract 74.03, block group 1",0,53,53,29,9,11,9,110010074031
"DC Tract 74.04, block group 1",0,58,58,18,9,17,14,110010074041
"DC Tract 74.04, block group 2",0,21,21,7,1,5,6,110010074042
"DC Tract 74.04, block group 3",0,7,7,2,1,3,2,110010074043
"DC Tract 74.06, block group 1",0,36,36,17,4,4,3,110010074061
"DC Tract 74.06, block group 2",0,44,44,15,2,5,5,110010074062
"DC Tract 74.07, block group 1",0,7,7,0,1,1,1,110010074071
"DC Tract 74.07, block group 2",0,44,44,19,9,5,9,110010074072
"DC Tract 74.08, block group 1",0,70,70,23,11,7,7,110010074081
"DC Tract 74.09, block group 1",0,20,20,8,3,1,2,110010074091
"DC Tract 74.09, block group 2",0,39,39,14,5,6,8,110010074092
"DC Tract 74.09, block group 3",0,34,34,17,7,10,8,110010074093
"DC Tract 75.02, block group 1",0,42,42,14,8,5,5,110010075021
"DC Tract 75.02, block group 2",0,34,34,18,5,5,6,110010075022
"DC Tract 75.03, block group 1",0,13,13,6,3,0,1,110010075031
"DC Tract 75.03, block group 2",0,38,38,13,5,4,3,110010075032
"DC Tract 75.04, block group 1",0,85,85,29,12,13,14,110010075041
"DC Tract 76.01, block group 1",0,18,18,9,1,3,3,110010076011
"DC Tract 76.01, block group 2",0,9,9,4,0,1,1,110010076012
"DC Tract 76.01, block group 3",0,21,21,9,2,0,4,110010076013
"DC Tract 76.01, block group 4",0,12,12,7,1,1,1,110010076014
"DC Tract 76.01, block group 5",0,15,15,3,4,3,3,110010076015
"DC Tract 76.03, block group 1",0,18,18,6,3,1,1,110010076031
"DC Tract 76.03, block group 2",0,10,10,5,1,3,3,110010076032
"DC Tract 76.03, block group 3",0,8,8,5,1,2,2,110010076033
"DC Tract 76.03, block group 4",0,21,21,11,2,3,2,110010076034
"DC Tract 76.04, block group 1",0,23,23,12,3,1,2,110010076041
"DC Tract 76.04, block group 2",0,17,17,8,4,2,3,110010076042
"DC Tract 76.04, block group 3",0,16,16,8,1,3,4,110010076043
"DC Tract 76.05, block group 1",0,9,9,0,2,1,0,110010076051
"DC Tract 76.05, block group 2",0,29,29,14,8,5,5,110010076052
"DC Tract 76.05, block group 3",0,16,16,3,5,1,0,110010076053
"DC Tract 77.03, block group 1",0,15,15,8,1,1,1,110010077031
"DC Tract 77.03, block group 2",0,19,19,11,2,1,2,110010077032
"DC Tract 77.03, block group 3",0,58,58,19,8,7,10,110010077033
"DC Tract 77.03, block group 4",0,16,16,7,1,2,1,110010077034
"DC Tract 77.07, block group 1",0,46,46,18,8,5,3,110010077071
"DC Tract 77.07, block group 2",0,23,23,13,3,7,7,110010077072
"DC Tract 77.08, block group 1",0,23,23,6,4,4,4,110010077081
"DC Tract 77.08, block group 2",0,23,23,5,7,4,2,110010077082
"DC Tract 77.09, block group 1",0,20,20,10,1,3,3,110010077091
"DC Tract 77.09, block group 2",0,17,17,9,2,0,0,110010077092
"DC Tract 78.03, block group 1",0,21,21,9,2,4,6,110010078031
"DC Tract 78.03, block group 2",0,12,12,4,1,2,2,110010078032
"DC Tract 78.03, block group 3",0,9,9,7,2,0,1,110010078033
"DC Tract 78.03, block group 4",0,20,20,10,0,4,3,110010078034
"DC Tract 78.04, block group 1",0,21,21,6,6,1,3,110010078041
"DC Tract 78.04, block group 2",0,39,39,14,5,10,8,110010078042
"DC Tract 78.04, block group 3",0,9,9,4,2,1,1,110010078043
"DC Tract 78.06, block group 1",0,20,20,8,3,3,4,110010078061
"DC Tract 78.06, block group 2",0,22,22,11,2,2,2,110010078062
"DC Tract 78.07, block group 1",0,31,31,12,2,3,2,110010078071
"DC Tract 78.07, block group 2",0,19,19,10,4,1,1,110010078072
"DC Tract 78.08, block group 1",0,38,38,12,3,5,7,110010078081
"DC Tract 78.08, block group 2",0,15,15,6,1,1,0,110010078082
"DC Tract 78.08, block group 3",0,19,19,5,4,2,2,110010078083
"DC Tract 78.09, block group 1",0,41,41,17,4,8,6,110010078091
"DC Tract 78.09, block group 2",0,16,16,3,2,1,0,110010078092
"DC Tract 79.01, block group 1",0,20,20,4,4,2,3,110010079011
"DC Tract 79.01, block group 2",0,12,12,7,0,0,0,110010079012
"DC Tract 79.01, block group 3",0,19,19,12,4,2,1,110010079013
"DC Tract 79.01, block group 4",0,19,19,10,1,1,1,110010079014
"DC Tract 79.03, block group 1",0,31,31,16,3,3,3,110010079031
"DC Tract 80.01, block group 1",0,19,19,15,0,0,1,110010080011
"DC Tract 80.01, block group 2",0,37,37,29,1,4,2,110010080012
"DC Tract 80.01, block group 3",0,19,19,16,2,0,0,110010080013
"DC Tract 80.02, block group 1",0,26,26,17,0,3,3,110010080021
"DC Tract 80.02, block group 2",0,38,38,34,0,4,3,110010080022
"DC Tract 81, block group 1",0,18,18,15,0,1,1,110010081001
"DC Tract 81, block group 2",0,26,26,20,1,2,2,110010081002
"DC Tract 81, block group 3",0,10,10,9,0,2,2,110010081003
"DC Tract 82, block group 1",0,8,8,7,0,0,0,110010082001
"DC Tract 82, block group 2",0,12,12,8,0,1,1,110010082002
"DC Tract 83.01, block group 1",0,26,26,19,2,1,0,110010083011
"DC Tract 83.01, block group 2",0,20,20,14,0,0,0,110010083012
"DC Tract 83.02, block group 1",0,26,26,16,4,1,3,110010083021
"DC Tract 84.02, block group 1",0,15,15,7,2,2,4,110010084021
"DC Tract 84.02, block group 2",0,10,10,6,1,0,0,110010084022
"DC Tract 84.10, block group 1",0,29,29,19,0,2,3,110010084101
"DC Tract 87.01, block group 1",0,15,15,9,0,3,2,110010087011
"DC Tract 87.01, block group 2",0,14,14,12,0,2,2,110010087012
"DC Tract 87.02, block group 1",0,11,11,7,2,1,1,110010087021
"DC Tract 87.02, block group 2",0,16,16,11,1,1,1,110010087022
"DC Tract 88.02, block group 1",0,13,13,7,2,1,1,110010088021
"DC Tract 88.02, block group 2",0,13,13,6,1,1,1,110010088022
"DC Tract 88.02, block group 3",0,31,31,15,2,2,3,110010088023
"DC Tract 88.02, block group 4",0,25,25,13,1,6,7,110010088024
"DC Tract 88.03, block group 1",0,33,33,13,7,1,4,110010088031
"DC Tract 88.04, block group 1",0,19,19,11,1,1,3,110010088041
"DC Tract 88.04, block group 2",0,27,27,12,4,3,3,110010088042
"DC Tract 89.03, block group 1",0,33,33,13,5,7,4,110010089031
"DC Tract 89.03, block group 2",0,27,27,8,6,3,3,110010089032
"DC Tract 89.04, block group 1",0,47,47,17,4,4,4,110010089041
"DC Tract 89.04, block group 2",0,17,17,5,1,3,3,110010089042
"DC Tract 90, block group 1",0,44,44,27,4,6,5,110010090001
"DC Tract 90, block group 2",0,8,8,0,2,1,2,110010090002
"DC Tract 91.02, block group 1",0,7,7,3,2,0,0,110010091021
"DC Tract 91.02, block group 2",0,57,57,22,11,9,8,110010091022
"DC Tract 91.02, block group 3",0,38,38,18,3,4,4,110010091023
"DC Tract 92.01, block group 1",0,41,41,27,3,3,6,110010092011
"DC Tract 92.03, block group 1",0,18,18,10,4,1,1,110010092031
"DC Tract 92.03, block group 2",0,30,30,22,1,3,4,110010092032
"DC Tract 92.04, block group 1",0,14,14,11,0,1,0,110010092041
"DC Tract 92.04, block group 2",0,42,42,17,8,3,7,110010092042
"DC Tract 93.01, block group 1",0,7,7,5,1,1,0,110010093011
"DC Tract 93.01, block group 2",0,14,14,10,1,0,2,110010093012
"DC Tract 93.01, block group 3",0,17,17,12,1,3,4,110010093013
"DC Tract 93.01, block group 4",0,11,11,8,0,1,1,110010093014
"DC Tract 93.02, block group 1",0,29,29,18,1,3,3,110010093021
"DC Tract 94, block group 1",0,5,5,5,0,4,4,110010094001
"DC Tract 94, block group 2",0,26,26,13,2,1,1,110010094002
"DC Tract 94, block group 3",0,22,22,11,4,4,3,110010094003
"DC Tract 94, block group 4",0,12,12,7,0,1,4,110010094004
"DC Tract 95.01, block group 1",0,71,71,32,3,2,1,110010095011
"DC Tract 95.01, block group 2",0,16,16,6,1,1,0,110010095012
"DC Tract 95.01, block group 3",0,32,32,10,7,6,5,110010095013
"DC Tract 95.03, block group 1",0,23,23,9,0,4,3,110010095031
"DC Tract 95.03, block group 2",0,12,12,3,1,1,1,110010095032
"DC Tract 95.03, block group 3",0,14,14,9,0,1,0,110010095033
"DC Tract 95.04, block group 1",0,14,14,10,0,1,0,110010095041
"DC Tract 95.04, block group 2",0,14,14,10,1,4,4,110010095042
"DC Tract 95.05, block group 1",0,13,13,7,0,0,0,110010095051
"DC Tract 95.05, block group 2",0,14,14,9,1,1,2,110010095052
"DC Tract 95.05, block group 3",0,23,23,7,5,6,5,110010095053
"DC Tract 95.07, block group 1",0,26,26,12,1,1,2,110010095071
"DC Tract 95.08, block group 1",0,21,21,12,1,4,1,110010095081
"DC Tract 95.08, block group 2",0,23,23,10,5,0,0,110010095082
"DC Tract 95.08, block group 3",0,13,13,2,2,2,0,110010095083
"DC Tract 95.09, block group 1",0,14,14,8,0,1,1,110010095091
"DC Tract 95.09, block group 2",0,13,13,10,1,0,0,110010095092
"DC Tract 95.09, block group 3",0,19,19,15,1,4,4,110010095093
"DC Tract 96.01, block group 1",0,28,28,10,3,8,6,110010096011
"DC Tract 96.02, block group 1",0,36,36,12,8,5,5,110010096021
"DC Tract 96.02, block group 2",0,37,37,16,4,1,3,110010096022
"DC Tract 96.03, block group 1",0,22,22,12,4,0,2,110010096031
"DC Tract 96.03, block group 2",0,11,11,9,0,0,1,110010096032
"DC Tract 96.03, block group 3",0,12,12,3,3,0,0,110010096033
"DC Tract 96.04, block group 1",0,14,14,6,1,1,1,110010096041
"DC Tract 96.04, block group 2",0,6,6,4,1,0,1,110010096042
"DC Tract 97, block group 1",0,60,60,24,10,7,6,110010097001
"DC Tract 97, block group 2",0,7,7,4,1,2,2,110010097002
"DC Tract 98.01, block group 1",0,33,33,11,5,4,4,110010098011
"DC Tract 98.02, block group 1",0,7,7,1,2,1,1,110010098021
"DC Tract 98.02, block group 2",0,20,20,4,4,4,5,110010098022
"DC Tract 98.03, block group 1",0,22,22,10,3,2,1,110010098031
"DC Tract 98.03, block group 2",0,21,21,6,5,3,3,110010098032
"DC Tract 98.03, block group 3",0,28,28,9,3,5,0,110010098033
"DC Tract 98.04, block group 1",0,32,32,8,5,0,0,110010098041
"DC Tract 98.04, block group 2",0,12,12,5,1,0,1,110010098042
"DC Tract 98.07, block group 1",0,10,10,4,3,1,1,110010098071
